id.condition,strides,drops,strides.cut,strides.new.length,h.original,h.random,h.contiguous
S183_G02_D02_B02_T02,224,0.08,17,207,0.589093869588425,0.604920789962561,0.58087986086484
S183_G02_D02_B02_T03,224,0.08,17,207,0.598212724284467,0.609565719956128,0.605021438854766
S183_G02_D02_B03_T01,223,0.08,17,206,0.419579452672582,0.447600936129318,0.390893854294805
S183_G02_D02_B03_T02,227,0.08,18,209,0.699721965962762,0.710174882861949,0.693200059025735
S183_G02_D02_B03_T03,227,0.08,18,209,0.63667203811153,0.627948143935714,0.629773323936177
S184_G02_D01_B01_T01,231,0.08,18,213,0.791276356252168,0.80835219007577,0.803506173285196
S184_G02_D01_B01_T02,230,0.08,18,212,0.668487387394055,0.662890912572752,0.655822147196925
S184_G02_D01_B01_T03,231,0.08,18,213,0.714608016356461,0.686726657814092,0.711650512966002
S184_G02_D01_B02_T01,234,0.08,18,216,0.678923075823973,0.658714973653401,0.681450102636078
S184_G02_D01_B02_T02,235,0.08,18,217,0.786253499021058,0.786588125044096,0.773675121966447
S184_G02_D01_B02_T03,234,0.08,18,216,0.761865651792721,0.761612496650417,0.757962785412523
S184_G02_D01_B03_T01,234,0.08,18,216,0.80282277346479,0.805355452322732,0.794810772633004
S184_G02_D01_B03_T02,235,0.08,18,217,0.819428012431066,0.786431087676837,0.82231675205223
S184_G02_D01_B03_T03,238,0.08,19,219,0.709120349226632,0.709879034836664,0.711666596805366
S184_G02_D02_B01_T01,240,0.08,19,221,0.751454198101027,0.751414020336619,0.767080122765228
S184_G02_D02_B01_T02,242,0.08,19,223,0.644515917766388,0.63964020798415,0.665257098667563
S184_G02_D02_B01_T03,241,0.08,19,222,0.582035492786239,0.585267660880711,0.583547379727985
S184_G02_D02_B02_T01,242,0.08,19,223,0.691710055288589,0.703519959520101,0.670974909835472
S184_G02_D02_B02_T02,241,0.08,19,222,0.592305458510579,0.61214575572698,0.606055907309107
S184_G02_D02_B02_T03,238,0.08,19,219,0.620019194531272,0.618686354103206,0.613226805459919
S184_G02_D02_B03_T01,248,0.08,19,229,0.655569498610282,0.661238231970219,0.667898343092667
S184_G02_D02_B03_T02,245,0.08,19,226,0.695005943438044,0.69670619612346,0.707095233565285
S184_G02_D02_B03_T03,245,0.08,19,226,0.760829642758546,0.779968939436571,0.75618043213727
S185_G02_D01_B01_T01,246,0.08,19,227,0.757310618234156,0.767481449621247,0.76992192047734
S185_G02_D01_B01_T02,248,0.08,19,229,0.883379398838039,0.868498176523948,0.893927033280886
S185_G02_D01_B01_T03,250,0.08,20,230,0.91365122143333,0.92210275875414,0.917761449394525
S185_G02_D01_B02_T01,249,0.08,19,230,0.822146589781294,0.836240724048801,0.807983804673873
S185_G02_D01_B02_T02,249,0.08,19,230,0.82084214574829,0.854518808715529,0.826236920793761
S185_G02_D01_B02_T03,249,0.08,19,230,0.873916683934551,0.864827995325278,0.888062858198828
S185_G02_D01_B03_T01,251,0.08,20,231,0.772778731290976,0.746786032073932,0.784889483112739
S185_G02_D01_B03_T02,249,0.08,19,230,0.727266041620882,0.731553720213057,0.736096013199627
S185_G02_D01_B03_T03,248,0.08,19,229,0.837387345320906,0.853242393011453,0.844690463329377
S185_G02_D02_B01_T01,245,0.08,19,226,0.855081710562186,0.860563210260648,0.86163661797404
S185_G02_D02_B01_T02,244,0.08,19,225,0.799648376417019,0.80496538122647,0.802137458027468
S185_G02_D02_B01_T03,244,0.08,19,225,0.710828976346021,0.701045553617222,0.690301558681113
S185_G02_D02_B02_T01,244,0.08,19,225,0.687129158113272,0.688814893099307,0.700869524595206
S185_G02_D02_B02_T02,244,0.08,19,225,0.798531179522659,0.794228930716616,0.823399068174324
S185_G02_D02_B02_T03,243,0.08,19,224,0.665090025456706,0.68441811217686,0.669140326953624
S185_G02_D02_B03_T01,244,0.08,19,225,0.691147495483186,0.695933838157853,0.70315856458634
S185_G02_D02_B03_T02,244,0.08,19,225,0.726529881936991,0.724862174291035,0.731086403096175
